_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
82,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Enteric,Unable to identify,,2018-08-31,2018-09-06,N,2018,,
83,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,,2018-08-31,2018-09-10,N,2018,,
84,St. John's Rehabilitation Hospital - A Lower Level,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2018-08-30,2018-09-18,N,2018,,
85,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-08-28,2018-09-29,N,2018,,
86,Hospital for Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2018-08-24,2018-09-04,N,2018,,
87,Kipling Acres - 3N,2233 Kipling Ave,LTCH,Respiratory,Unable to identify,,2018-08-13,2018-08-27,N,2018,,
88,Sunnybrook Health Sciences Centre - CRCU,2075 Bayview Ave,Hospital-Acute Care,Other,CPE - Colonization,,2018-08-13,2018-08-15,N,2018,,
89,Midland Gardens Care Community - 3rd & 5th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,,2018-08-03,2018-08-22,N,2018,,
90,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Unable to identify,,2018-08-03,2018-08-21,N,2018,,
91,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Parainfluenza type 3,,2018-08-02,2018-08-21,N,2018,,
92,North York Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Unable to identify,,2018-07-31,2018-08-20,N,2018,,
93,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Unable to identify,,2018-07-30,2018-08-20,N,2018,,
94,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-07-27,2018-08-14,N,2018,,
95,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-07-27,2018-08-22,N,2018,,
96,True Davidson Acres - 4 East Unit & 4 West Unit,200 Dawes Rd,LTCH,Respiratory,Unable to identify,,2018-07-26,2018-08-08,N,2018,,
97,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-07-23,2018-08-01,N,2018,,
98,Belmont House - 2WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-07-17,2018-08-01,N,2018,,
99,Westside,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2018-07-13,2018-08-10,N,2018,,
100,Centre for Addiction and Mental Health - Queen Site-Unit 1-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-07-12,2018-07-22,N,2018,,
101,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-07-11,2018-07-20,N,2018,,
102,Cedarvale Terrace - 2nd & 4th Fl,429 Walmer Rd,LTCH,Respiratory,Unable to identify,,2018-07-09,2018-07-26,N,2018,,
103,Harold and Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Unable to identify,,2018-07-03,2018-07-19,N,2018,,
104,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-06-29,2018-07-19,N,2018,,
105,Eatonville Care Centre - 2nd & 3rd Fl,420 The East Mall,LTCH,Enteric,Unable to identify,,2018-06-22,2018-07-03,N,2018,,
106,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Parainfluenza type 3,,2018-06-19,2018-07-01,N,2018,,
107,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,,2018-06-19,2018-07-14,N,2018,,
108,Yee Hong Centre - Scarborough Finch - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Unable to identify,,2018-06-14,2018-06-25,N,2018,,
109,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2018-06-13,2018-06-23,N,2018,,
110,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-06-12,2018-06-22,N,2018,,
111,The Wexford - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza type 3,,2018-06-07,2018-06-17,N,2018,,
112,Yee Hong Centre - Scarborough Finch - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza type 3,,2018-05-25,2018-06-11,N,2018,,
113,St. George Care Community - 2nd Fl,225 St George St,LTCH,Respiratory,Influenza A (H3),,2018-05-23,2018-06-01,N,2018,,
114,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Unable to identify,,2018-05-23,2018-06-20,N,2018,,
115,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,"Influenza A (H3), Parainfluenza type 2",Respiratory syncytial virus,2018-05-22,2018-06-06,N,2018,,
116,Nisbet Lodge,740 Pape Ave,LTCH,Enteric,Norovirus-like,,2018-05-22,2018-06-04,N,2018,,
117,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-05-15,2018-05-22,N,2018,,
118,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Enteric,Unable to identify,,2018-05-14,2018-05-22,N,2018,,
119,"Chartwell Gibson Long Term Care - 1st, 2nd & 3rd Fl",1925 Steeles Ave E,LTCH,Respiratory,Unable to identify,,2018-05-14,2018-06-13,N,2018,,
120,Carefree Lodge - 1st & 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Unable to identify,,2018-05-10,2018-05-25,N,2018,,
121,Holland Bloorview Kids Rehabilitation Hospital - BIRT 3W,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Enterovirus/Rhinovirus,2018-05-10,2018-05-19,N,2018,,
122,The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-05-08,2018-05-23,N,2018,,
123,Beach Arms Retirement Residence,505 Kingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-05-04,2018-05-13,N,2018,,
124,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-05-03,2018-05-15,N,2018,,
125,Villa Colombo - 3 Fusco,40 Playfair Ave,LTCH,Respiratory,Metapneumovirus,,2018-05-03,2018-05-21,N,2018,,
126,Belmont House Retirement Home,55 Belmont St,Retirement Home,Respiratory,Influenza A (H3),,2018-05-02,2018-05-14,N,2018,,
127,True Davidson Acres - 5 East & 5 West Units,200 Dawes Rd,LTCH,Enteric,Norovirus-like,,2018-05-01,2018-05-15,N,2018,,
128,Better Living at Thompson House - 3rd Fl Unit,1 Overland Dr,LTCH,Respiratory,Parainfluenza type 3,,2018-04-30,2018-05-17,N,2018,,
129,Kennedy Lodge Nursing Home - Main Fl,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (H3),,2018-04-30,2018-05-10,N,2018,,
130,Westside,1145 Albion Rd,LTCH,Respiratory,Metapneumovirus,,2018-04-29,2018-05-28,N,2018,,
131,Midland Gardens Care Community - 4th & 5th Fl,130 Midland Ave,LTCH,Respiratory,Metapneumovirus,,2018-04-26,2018-05-09,N,2018,,
132,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Influenza B,,2018-04-26,2018-05-08,N,2018,,
133,Amica at Bayview,15 Barberry Pl,Retirement Home,Enteric,Unable to identify,,2018-04-25,2018-05-08,N,2018,,
134,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-04-24,2018-04-30,N,2018,,
135,Village of Humber Heights,2245 Lawrence Ave W,LTCH,Respiratory,Influenza B,,2018-04-22,2018-05-04,N,2018,,
136,Castleview Wychwood Towers - 4th & 6th Fl,351 Christie St,LTCH,Respiratory,Metapneumovirus,,2018-04-21,2018-04-30,N,2018,,
137,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Unable to identify,,2018-04-21,2018-05-07,N,2018,,
138,Cedarvale Terrace,429 Walmer Rd,LTCH,Enteric,Norovirus-like,,2018-04-19,2018-05-01,N,2018,,
139,Leaside Retirement Residence,10/14 William Morgan Dr,Retirement Home,Enteric,Norovirus-like,,2018-04-19,2018-05-07,N,2018,,
140,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2018-04-19,2018-04-28,N,2018,,
141,Baycrest Hospital - 3W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-04-18,2018-04-25,N,2018,,
142,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza B,,2018-04-18,2018-05-03,N,2018,,
143,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Enteric,Norovirus-like,,2018-04-18,2018-04-30,N,2018,,
144,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A (H3),,2018-04-17,2018-05-04,N,2018,,
145,St. George Care Community - 1st Fl,225 St George St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-16,2018-04-27,N,2018,,
146,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Metapneumovirus,,2018-04-16,2018-05-08,N,2018,,
147,"Copernicus Lodge - 2N, 3N & 3S",66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-16,2018-04-28,N,2018,,
148,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Metapneumovirus,Enterovirus/Rhinovirus,2018-04-15,2018-05-22,N,2018,,
149,Vermont Square,914 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-15,2018-04-26,N,2018,,
150,Cheltenham Care Community - 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Unable to identify,,2018-04-13,2018-05-02,N,2018,,
151,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2018-04-13,2018-04-23,N,2018,,
152,Baycrest Apotex Centre - Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-13,2018-04-21,N,2018,,
153,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza B,,2018-04-12,2018-05-02,N,2018,,
154,Hazelton Place,111 Avenue Rd,Retirement Home,Respiratory,Influenza B,,2018-04-11,2018-04-19,N,2018,,
155,Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Unable to identify,,2018-04-10,2018-04-19,N,2018,,
156,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-04-10,2018-04-19,N,2018,,
157,Extendicare Craiglee Nursing Home,102 Craiglee Dr,LTCH,Respiratory,Influenza B,,2018-04-09,2018-04-20,N,2018,,
158,West Park Long Term Care Centre - 3rd Fl Glenwild & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-09,2018-04-21,N,2018,,
159,Bridgepoint Active Healthcare - 6 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza B,,2018-04-09,2018-04-19,N,2018,,
160,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,LTCH,Respiratory,Influenza B,,2018-04-09,2018-04-28,N,2018,,
161,The Wexford Residence,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2018-04-08,2018-04-22,N,2018,,
162,Providence Healthcare - A4 East Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-04-07,2018-04-15,N,2018,,
163,Beach Arms Retirement Residence,505 Kingston Rd,Retirement Home,Enteric,Unable to identify,,2018-04-06,2018-04-16,N,2018,,
164,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-04-06,2018-05-09,N,2018,,
165,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-05,2018-04-14,N,2018,,
166,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Metapneumovirus,,2018-04-05,2018-04-17,N,2018,,
167,Cummer Lodge - 4 South & 4 North,205 Cummer Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-05,2018-04-17,N,2018,,
168,Providence Healthcare - A3 3rd Fl,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-04-05,2018-04-16,N,2018,,
169,Providence Healthcare - A5  East Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-04-05,2018-04-13,N,2018,,
170,McCall Centre - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Enteric,Norovirus-like,,2018-04-04,2018-04-10,N,2018,,
171,Donway Place,8 Donway Pl,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2018-04-03,2018-04-16,N,2018,,
172,"Copernicus Lodge - 1 North, 2 North, 4 South & 5 South",66 Roncesvalles Ave,LTCH,Enteric,Norovirus-like,,2018-04-03,2018-04-18,N,2018,,
173,Maynard Nursing Home,28 Halton St,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-04-03,2018-04-18,N,2018,,
174,Chester Village,3555 Danforth Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-01,2018-04-18,N,2018,,
175,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Metapneumovirus,,2018-03-31,2018-04-17,N,2018,,
176,Midland Gardens Care Community,130 Midland Ave,LTCH,Enteric,Unable to identify,,2018-03-29,2018-04-17,N,2018,,
177,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-03-28,2018-04-10,N,2018,,
178,Sunnybrook Health Sciences Centre - LGSE & LGSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-28,2018-04-14,N,2018,,
179,Greenview Lodge - 2nd Fl (Secured Unit),880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-03-27,2018-04-02,N,2018,,
180,West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,,2018-03-27,2018-04-04,N,2018,,
181,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza B,,2018-03-26,2018-04-06,N,2018,,
182,Ukrainian Canadian Care Centre - 4th Fl,60 Richview Rd,LTCH,Respiratory,Unable to identify,,2018-03-26,2018-04-07,N,2018,,
183,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-03-26,2018-04-03,N,2018,,
184,Midland Gardens Care Community - 4th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,,2018-03-26,2018-04-03,N,2018,,
185,Castleview Wychwood Towers - 4th & 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A (H3),Metapneumovirus,2018-03-24,2018-04-09,N,2018,,
186,Chartwell Grenadier Retirement Residence - Assisted Living,2100 Bloor St W,Retirement Home,Enteric,Unable to identify,,2018-03-23,2018-04-12,N,2018,,
187,Villa Colombo - 3 Fidani,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-23,2018-03-31,N,2018,,
188,Scarborough and Rouge Hospital - Birchmount Site - Unit 3A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-03-23,2018-04-01,N,2018,,
189,The Salvation Army - Toronto Grace Health Centre - 5th Fl,650 Church St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-03-23,2018-04-01,N,2018,,
190,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-03-21,2018-04-03,N,2018,,
191,Delmanor Wynford,187 Wynford Dr,Retirement Home,Enteric,Norovirus-like,,2018-03-20,2018-04-12,N,2018,,
192,Centre for Addiction and Mental Health- Queen Site- Unit 4-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-03-20,2018-03-27,N,2018,,
193,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-03-19,2018-03-31,N,2018,,
194,Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-19,2018-03-29,N,2018,,
195,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2018-03-19,2018-04-10,N,2018,,
196,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza B,,2018-03-19,2018-03-30,N,2018,,
197,Providence Healthcare - A4 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2018-03-19,2018-03-27,N,2018,,
198,Yee Hong Centre for Geriatric Care - McNicoll Site - 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-03-18,2018-03-30,N,2018,,
199,The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Influenza B,,2018-03-17,2018-03-28,N,2018,,
200,Hillcrest Reactivation Centre - 4th Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-03-17,2018-03-25,N,2018,,
201,The O'Neill Centre,33 Christie St,LTCH,Enteric,Norovirus-like,,2018-03-17,2018-04-23,N,2018,,
202,Sunnybrook Holland Orthopaedic and Arthritic Centre -HOAC 7E,43 Wellesley St E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-03-16,2018-03-26,N,2018,,
203,Michael Garron Hospital - B2,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-03-16,2018-03-22,N,2018,,
204,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Unable to identify,,2018-03-14,2018-04-09,N,2018,,
205,Sunnybrook Health Sciences Centre - LTSW & LTSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-14,2018-03-24,N,2018,,
206,Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-13,2018-03-22,N,2018,,
207,The Briton House Retirement Residence,700 & 720 Mount Pleasant Rd,Retirement Home,Enteric,Unable to identify,,2018-03-13,2018-03-26,N,2018,,
208,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-03-13,2018-03-20,N,2018,,
209,William Osler Health System - 10th Level,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2018-03-12,2018-03-16,N,2018,,
210,Seven Oaks,9 Neilson Rd,LTCH,Respiratory,Influenza B,,2018-03-12,2018-03-29,N,2018,,
211,Weston Gardens Retirement Residence - 3rd & 4th Fl,303 Queens Dr,Retirement Home,Enteric,Unable to identify,,2018-03-12,2018-03-21,N,2018,,
212,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-12,2018-03-21,N,2018,,
213,Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-03-12,2018-03-19,N,2018,,
214,McNicoll Manor - 5th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Influenza B,,2018-03-09,2018-03-13,N,2018,,
215,Sunnybrook Health Sciences Centre - C6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-03-09,2018-03-18,N,2018,,
216,Shepherd Lodge - 3rd Fl,3760 Sheppard Ave E,LTCH,Respiratory,Influenza A (H3),,2018-03-09,2018-03-23,N,2018,,
217,Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A (H3),,2018-03-09,2018-03-19,N,2018,,
218,Kipling Acres - Humber 1E & Pine Point 1W,2233 Kipling Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-08,2018-03-22,N,2018,,
219,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Influenza B,,2018-03-08,2018-03-23,N,2018,,
220,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Influenza A (H3N2),,2018-03-08,2018-03-20,N,2018,,
221,Centre for Addiction and Mental Health - Unit 3-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (H3N2),,2018-03-07,2018-03-19,N,2018,,
222,Sunnybrook Health Sciences Centre - C6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,2018-03-07,2018-04-16,N,2018,,
223,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-07,2018-03-26,N,2018,,
224,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-03-06,2018-03-16,N,2018,,
225,North York Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Metapneumovirus,,2018-03-05,2018-03-18,N,2018,,
226,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2018-03-05,2018-03-21,N,2018,,
227,Seaton House - 3rd & 4th Fl,339 George St,Shelter,Respiratory,Streptococcus pyogenes,,2018-03-05,2018-04-24,N,2018,,
228,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza B,,2018-03-02,2018-03-20,N,2018,,
229,Princess Margaret Hospital - 17B,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-03-02,2018-03-09,N,2018,,
230,Villa Colombo - 2nd & 3rd Fusco,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-02,2018-03-20,N,2018,,
231,The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Influenza B,,2018-03-02,2018-03-19,N,2018,,
232,St. Michael's Hospital - 7 CCV,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2018-03-01,2018-03-08,N,2018,,
233,Kensington Gardens South - 1 East & 1 West,25 Brunswick Ave,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-03-01,2018-03-19,N,2018,,
234,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Enteric,Norovirus-like,,2018-03-01,2018-03-13,N,2018,,
235,Chartwell Trilogy Long Term Care Residence - 4th & 5th Fl,340 McCowan Rd,LTCH,Respiratory,Influenza B,,2018-02-28,2018-03-15,N,2018,,
236,V Care Retirement Home,8 Bridlington St,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-02-28,2018-03-07,N,2018,,
237,Providence Healthcare - Houses of Providence - 3rd Fl East -,3276 St Clair Ave E - & West,LTCH,Respiratory,Influenza A (H3),,2018-02-28,2018-03-09,N,2018,,
238,Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Influenza B,,2018-02-28,2018-03-12,N,2018,,
239,Belmont House - 4th Fl,55 Belmont,LTCH,Respiratory,Influenza B,,2018-02-27,2018-03-05,N,2018,,
240,Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-27,2018-03-05,N,2018,,
241,Runnymede Healthcare Centre - 4th Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-27,2018-03-11,N,2018,,
242,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2018-02-27,2018-03-12,N,2018,,
243,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (H3),,2018-02-27,2018-03-10,N,2018,,
244,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-02-26,2018-03-14,N,2018,,
245,The Westbury - 4th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,,2018-02-26,2018-03-08,N,2018,,
246,Nisbet Lodge,740 Pape Ave,LTCH,Respiratory,Influenza B,,2018-02-24,2018-03-13,N,2018,,
247,Sinai Health System - Mount Sinai Hospital -,600 University Ave - 12 South & EXAU,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-23,2018-03-02,N,2018,,
248,New Horizons Tower,1140 Bloor St W,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2018-02-23,2018-03-17,N,2018,,
249,The Hospital for Sick Children - 8A,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-23,2018-03-02,N,2018,,
250,Chester Villiage - Diamond Unit,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2018-02-23,2018-03-04,N,2018,,
251,Providence Healthcare - Houses of Providence - 1 West,3276 St Clair Ave E,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-02-22,2018-03-03,N,2018,,
252,Holland Bloorview Kids Rehabilitation Hospital - 3 East CCC,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-02-21,2018-02-27,N,2018,,
253,Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 6th Fl,LTCH,Respiratory,Influenza B,,2018-02-21,2018-03-02,N,2018,,
254,West Park Healthcare Centre - ABI,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-02-21,2018-02-27,N,2018,,
255,Hellenic Care for Seniors - Ground Fl,215 Tyrell Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-21,2018-03-01,N,2018,,
256,Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,LTCH,Respiratory,Influenza A (H3),,2018-02-21,2018-03-09,N,2018,,
257,Humber River Hospital - Reactivation Care Centre - F6E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-20,2018-02-25,N,2018,,
258,Centre for Addiction and Mental Health - Queen St - Unit 2-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-02-20,2018-03-05,N,2018,,
259,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Unable to identify,,2018-02-20,2018-02-26,N,2018,,
260,Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Enteric,Norovirus-like,,2018-02-19,2018-02-26,N,2018,,
261,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Enteric,Norovirus-like,,2018-02-19,2018-02-27,N,2018,,
262,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (H3),,2018-02-19,2018-03-13,N,2018,,
263,Tendercare Living Centre - 3 West,1020 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-02-19,2018-03-01,N,2018,,
264,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-19,2018-03-05,N,2018,,
265,Runnymede Healthcare Centre - 2nd Fl,625 Runnymede Rd,Hospital-Chronic Care,Enteric,Norovirus-like,,2018-02-18,2018-02-27,N,2018,,
266,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Influenza A (H3),,2018-02-18,2018-03-02,N,2018,,
267,North York General Hospital - 5N,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-17,2018-02-25,N,2018,,
268,North York General Hospital - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-17,2018-02-23,N,2018,,
269,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Influenza B,,2018-02-16,2018-03-07,N,2018,,
