_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Outbreak Duration (days)
865,Weston Gardens Retirement Residence,303 Queens Dr,retirement home,respiratory,Influenza A (H3),Influenza B,2018-03-05,2018-03-21,n,2018,16
866,Seaton House - 3rd & 4th Fl,339 George St,shelter,respiratory,Streptococcus pyogenes,N/A,2018-03-05,2018-04-24,n,2018,50
867,Amica at Bayview Gardens,19 Rean Dr,retirement home,respiratory,Influenza B,N/A,2018-03-02,2018-03-20,n,2018,18
868,Princess Margaret Hospital - 17B,610 University Ave,hospital-acute care,respiratory,Influenza A (Not subtyped),N/A,2018-03-02,2018-03-09,n,2018,7
869,Villa Colombo - 2nd & 3rd Fusco,40 Playfair Ave,ltch,respiratory,Influenza A (H3),N/A,2018-03-02,2018-03-20,n,2018,18
870,The Rekai Centre at Sherbourne Place,345 Sherbourne St,ltch,respiratory,Influenza B,N/A,2018-03-02,2018-03-19,n,2018,17
871,St. Michael's Hospital - 7 CCV,30 Bond St,hospital-acute care,respiratory,Influenza A ((H1N1)pdm09),N/A,2018-03-01,2018-03-08,n,2018,7
872,Kensington Gardens South - 1 East & 1 West,25 Brunswick Ave,ltch,respiratory,Influenza B,Metapneumovirus,2018-03-01,2018-03-19,n,2018,18
873,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,ltch,enteric,Norovirus-like,N/A,2018-03-01,2018-03-13,n,2018,12
874,Chartwell Trilogy Long Term Care Residence - 4th & 5th Fl,340 McCowan Rd,ltch,respiratory,Influenza B,N/A,2018-02-28,2018-03-15,n,2018,15
875,V Care Retirement Home,8 Bridlington St,retirement home,respiratory,Influenza A (Not subtyped),N/A,2018-02-28,2018-03-07,n,2018,7
876,Providence Healthcare - Houses of Providence - 3rd Fl East -,3276 St Clair Ave E - & West,ltch,respiratory,Influenza A (H3),N/A,2018-02-28,2018-03-09,n,2018,9
877,Fieldstone Commons Care Community,1000 Ellesmere Rd,ltch,respiratory,Influenza B,N/A,2018-02-28,2018-03-12,n,2018,12
878,Belmont House - 4th Fl,55 Belmont,ltch,respiratory,Influenza B,N/A,2018-02-27,2018-03-05,n,2018,6
879,Cummer Lodge - 4 South,205 Cummer Ave,ltch,respiratory,Influenza B,N/A,2018-02-27,2018-03-05,n,2018,6
880,Runnymede Healthcare Centre - 4th Fl,625 Runnymede Rd,hospital-chronic care,respiratory,Influenza B,N/A,2018-02-27,2018-03-11,n,2018,12
881,Ehatare Retirement Home,40 Old Kingston Rd,retirement home,enteric,Norovirus-like,N/A,2018-02-27,2018-03-12,n,2018,13
882,Greenview Lodge,880 Lawrence Ave E,retirement home,respiratory,Influenza A (H3),N/A,2018-02-27,2018-03-10,n,2018,11
883,Rockcliffe Care Community,3015 Lawrence Ave E,ltch,respiratory,Unable to identify,N/A,2018-02-26,2018-03-14,n,2018,16
884,The Westbury - 4th Fl,495 The West Mall,ltch,respiratory,Unable to identify,N/A,2018-02-26,2018-03-08,n,2018,10
885,Nisbet Lodge,740 Pape Ave,ltch,respiratory,Influenza B,N/A,2018-02-24,2018-03-13,n,2018,17
886,Sinai Health System - Mount Sinai Hospital -,600 University Ave - 12 South & EXAU,hospital-acute care,respiratory,Influenza A (H3),N/A,2018-02-23,2018-03-02,n,2018,7
887,New Horizons Tower,1140 Bloor St W,retirement home,respiratory,Influenza B,Respiratory syncytial virus,2018-02-23,2018-03-17,n,2018,22
888,The Hospital for Sick Children - 8A,555 University Ave,hospital-acute care,enteric,Norovirus-like,N/A,2018-02-23,2018-03-02,n,2018,7
889,Chester Villiage - Diamond Unit,3555 Danforth Ave,ltch,respiratory,Influenza B,N/A,2018-02-23,2018-03-04,n,2018,9
890,Providence Healthcare - Houses of Providence - 1 West,3276 St Clair Ave E,ltch,respiratory,Influenza A (H3),Influenza B,2018-02-22,2018-03-03,n,2018,9
891,Holland Bloorview Kids Rehabilitation Hospital - 3 East CCC,150 Kilgour Rd,hospital-chronic care,respiratory,Unable to identify,N/A,2018-02-21,2018-02-27,n,2018,6
892,Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 6th Fl,ltch,respiratory,Influenza B,N/A,2018-02-21,2018-03-02,n,2018,9
893,West Park Healthcare Centre - ABI,82 Buttonwood Ave,hospital-chronic care,respiratory,Unable to identify,N/A,2018-02-21,2018-02-27,n,2018,6
894,Hellenic Care for Seniors - Ground Fl,215 Tyrell Ave,ltch,respiratory,Influenza A (H3),N/A,2018-02-21,2018-03-01,n,2018,8
895,Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,ltch,respiratory,Influenza A (H3),N/A,2018-02-21,2018-03-09,n,2018,16
896,Humber River Hospital - Reactivation Care Centre - F6E,2111 Finch Ave W,hospital-chronic care,respiratory,Influenza B,N/A,2018-02-20,2018-02-25,n,2018,5
897,Centre for Addiction and Mental Health - Queen St - Unit 2-3,1001 Queen St W,hospital-psychiatric,respiratory,Unable to identify,N/A,2018-02-20,2018-03-05,n,2018,13
898,Scarborough Retirement Residence,148 Markham Rd,retirement home,enteric,Unable to identify,N/A,2018-02-20,2018-02-26,n,2018,6
899,Chartwell Avondale Retirement Residence,1238 Queen St E,retirement home,enteric,Norovirus-like,N/A,2018-02-19,2018-02-26,n,2018,7
900,Castleview Wychwood Towers - 5th Fl,351 Christie St,ltch,enteric,Norovirus-like,N/A,2018-02-19,2018-02-27,n,2018,8
901,Cheltenham Care Community,5935 Bathurst St,ltch,respiratory,Influenza A (H3),N/A,2018-02-19,2018-03-13,n,2018,22
902,Tendercare Living Centre - 3 West,1020 McNicoll Ave,ltch,respiratory,Influenza B,N/A,2018-02-19,2018-03-01,n,2018,10
903,St. Michael's Hospital - 6 Bond,30 Bond St,hospital-acute care,respiratory,Influenza A (H3),N/A,2018-02-19,2018-03-05,n,2018,14
904,Runnymede Healthcare Centre - 2nd Fl,625 Runnymede Rd,hospital-chronic care,enteric,Norovirus-like,N/A,2018-02-18,2018-02-27,n,2018,9
905,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,ltch,respiratory,Influenza A (H3),N/A,2018-02-18,2018-03-02,n,2018,12
906,North York General Hospital - 5N,4001 Leslie St,hospital-acute care,respiratory,Influenza A (H3),N/A,2018-02-17,2018-02-25,n,2018,8
907,North York General Hospital - 5W,4001 Leslie St,hospital-acute care,respiratory,Influenza A (H3),N/A,2018-02-17,2018-02-23,n,2018,6
908,North Park Nursing Home,450 Rustic Rd,ltch,respiratory,Influenza B,N/A,2018-02-16,2018-03-07,n,2018,19
909,Mount Sinai Hospital - 11 S,600 University Ave,hospital-acute care,respiratory,Influenza A (H3),N/A,2018-02-16,2018-02-20,n,2018,4
910,Yee Hong Centre for Geriatric Care - McNicoll Site,2311 McNicoll Ave,ltch,respiratory,Influenza A (H3),Influenza B,2018-02-16,2018-03-02,n,2018,14
911,Hellenic Home - Scarborough,2411 Lawrence Ave E,ltch,respiratory,Influenza B,Metapneumovirus,2018-02-16,2018-03-01,n,2018,13
912,Michael Garron Hospital - H6,825 Coxwell Ave,hospital-acute care,enteric,Norovirus-like,N/A,2018-02-16,2018-02-26,n,2018,10
913,Michael Garron Hospital - F3,825 Coxwell Ave,hospital-acute care,enteric,Norovirus-like,N/A,2018-02-15,2018-02-26,n,2018,11
914,St. George Care Community,225 St George St,ltch,respiratory,Influenza B,N/A,2018-02-15,2018-02-25,n,2018,10
915,Sts. Peter and Paul Residence,221 Milner Ave,retirement home,enteric,Norovirus-like,N/A,2018-02-15,2018-02-28,n,2018,13
916,Amica at Bayview,15 Barberry Pl,retirement home,respiratory,Influenza A (H3),Influenza B,2018-02-15,2018-03-03,n,2018,16
917,The Scarborough and Rouge Hospital - General Site - CP1,3050 Lawrence Ave E,hospital-acute care,enteric,Norovirus-like,N/A,2018-02-15,2018-02-23,n,2018,8
918,Downsview Long Term Care Centre - 2 East,3595 Keele St,ltch,respiratory,Influenza B,N/A,2018-02-14,2018-02-26,n,2018,12
919,University Health Network - Toronto Rehabilitation Institute,550 University Ave - University Centre - 6 South,hospital-chronic care,respiratory,Influenza B,N/A,2018-02-14,2018-02-25,n,2018,11
920,North York General Hospital - Reactivation Care Centre -,2111 Finch Ave W - 6 West,hospital-chronic care,respiratory,Influenza B,N/A,2018-02-13,2018-02-23,n,2018,10
921,True Davidson Acres - 1 West Unit,200 Dawes Rd,ltch,respiratory,Influenza B,N/A,2018-02-13,2018-02-22,n,2018,9
922,Centre for Addiction and Mental Health - College Site -,250 College St - EPU 10th Fl,hospital-psychiatric,respiratory,Influenza B,N/A,2018-02-13,2018-02-22,n,2018,9
923,Elm Grove Living Centre,35 Elm Grove Ave,ltch,respiratory,Influenza B,N/A,2018-02-12,2018-02-24,n,2018,12
924,Humber Valley Terrace,95 Humber College Blvd,ltch,respiratory,Influenza A ((H1N1)pdm09),N/A,2018-02-12,2018-02-27,n,2018,15
925,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl,2030 McNicoll Ave,ltch,respiratory,Influenza A (H3),N/A,2018-02-12,2018-03-06,n,2018,22
926,Hazelton Place Retirement Residence,111 Avenue Rd,retirement home,respiratory,Influenza A (H3),N/A,2018-02-12,2018-03-01,n,2018,17
927,Beach Arms Retirement Residence,505 Kingston Rd,retirement home,respiratory,Influenza B,N/A,2018-02-12,2018-02-24,n,2018,12
928,Michael Garron Hospital - Cardiology Unit,825 Coxwell Ave,hospital-acute care,enteric,Unable to identify,N/A,2018-02-11,2018-02-15,n,2018,4
929,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,hospital-chronic care,respiratory,Influenza B,Respiratory syncytial virus,2018-02-10,2018-02-19,n,2018,9
930,Providence Healthcare - Houses of Providence - 1 East,3276 St Clair Ave E,ltch,respiratory,Influenza B,N/A,2018-02-10,2018-02-17,n,2018,7
931,Ivan Franko Home,767 Royal York Rd,ltch,respiratory,Influenza A (H3),N/A,2018-02-09,2018-02-21,n,2018,12
932,Fudger House,439 Sherbourne St,ltch,respiratory,Influenza B,N/A,2018-02-08,2018-02-26,n,2018,18
933,Hillcrest Reactivation Centre - 2nd Fl (Seniors),47 Austin Terr,hospital-chronic care,respiratory,Influenza A (H3),N/A,2018-02-08,2018-02-17,n,2018,9
934,McCall Centre for Continuing Care - 3rd Fl Rehabilitation,140 Sherway Dr,hospital-chronic care,respiratory,Influenza A (Not subtyped),N/A,2018-02-08,2018-02-21,n,2018,13
935,St. Joseph's Health Centre - 3M,30 The Queensway,hospital-acute care,respiratory,Influenza B,N/A,2018-02-07,2018-02-14,n,2018,7
936,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,retirement home,enteric,Norovirus-like,N/A,2018-02-07,2018-02-22,n,2018,15
937,Extendicare Scarborough,3830 Lawrence Ave E,ltch,enteric,Clostridium difficile,Norovirus-like,2018-02-06,2018-02-20,n,2018,14
938,Chester Village - Diamond Unit - Ground Fl,3555 Danforth Ave,ltch,respiratory,Influenza B,N/A,2018-02-06,2018-02-14,n,2018,8
939,The Westbury - 2nd & 6th Fl - Markland Woods,495 The West Mall,ltch,enteric,Norovirus-like,N/A,2018-02-06,2018-02-26,n,2018,20
940,Eatonville Care Centre,420 The East Mall,ltch,respiratory,Influenza B,N/A,2018-02-06,2018-02-28,n,2018,22
941,Forest Hill Place,645 Castlefield Ave,retirement home,respiratory,Influenza A (H3),N/A,2018-02-06,2018-02-21,n,2018,15
942,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,hospital-chronic care,respiratory,Coronavirus,N/A,2018-02-06,2018-02-19,n,2018,13
943,Harold and Grace Baker Retirement Residence,1 Northwestern Ave,retirement home,respiratory,Influenza A (H3N2),Influenza B,2018-02-06,2018-02-22,n,2018,16
944,Suomi Koti Nursing Home,795 Eglinton Ave E,ltch,respiratory,Influenza A and B,N/A,2018-02-05,2018-02-16,n,2018,11
945,Rayoak Place Retirement Residence,1340 York Mills Rd,retirement home,respiratory,Influenza A (H3),N/A,2018-02-05,2018-02-16,n,2018,11
946,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,ltch,respiratory,Influenza B,N/A,2018-02-05,2018-02-15,n,2018,10
947,Cummer Lodge - 4 North,205 Cummer Ave,ltch,respiratory,Influenza B,N/A,2018-02-05,2018-02-22,n,2018,17
948,Extendicare Bayview,550 Cummer Ave,ltch,respiratory,Influenza B,N/A,2018-02-05,2018-02-22,n,2018,17
949,Extendicare Rouge Valley,551 Conlins Rd,ltch,respiratory,Influenza B,N/A,2018-02-05,2018-02-26,n,2018,21
950,Wesburn Manor,400 The West Mall,ltch,respiratory,Influenza A (H3),Respiratory syncytial virus,2018-02-03,2018-02-16,n,2018,13
951,St. Michael's Hospital - 7 CCV,30 Bond St,hospital-acute care,respiratory,Influenza B,N/A,2018-02-03,2018-02-11,n,2018,8
952,The Scarborough Hospital - Birchmount - 3D,3030 Birchmount Rd,hospital-acute care,respiratory,Influenza A (Not subtyped),N/A,2018-02-03,2018-02-11,n,2018,8
953,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,hospital-chronic care,respiratory,Influenza B,N/A,2018-02-02,2018-02-13,n,2018,11
954,Belmont House - 3WW,55 Belmont St,ltch,respiratory,Influenza B,N/A,2018-02-01,2018-02-17,n,2018,16
955,Chartwell Gibson Long Term Care,1925 Steeles Ave E,ltch,enteric,Norovirus-like,N/A,2018-02-01,2018-02-12,n,2018,11
956,Kensington Gardens - South Building - 1 East & 2 East,25 Brunswick Ave,ltch,respiratory,Influenza A (H3),N/A,2018-02-01,2018-02-16,n,2018,15
957,Westside,1145 Albion Rd,ltch,respiratory,Influenza B,N/A,2018-02-01,2018-02-26,n,2018,25
958,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,hospital-chronic care,respiratory,Influenza B,Enterovirus/Rhinovirus,2018-02-01,2018-02-26,n,2018,25
959,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,hospital-chronic care,respiratory,Influenza B,N/A,2018-02-01,2018-02-11,n,2018,10
960,Shepherd Lodge,3760 Sheppard Ave E,ltch,respiratory,Influenza B,N/A,2018-01-31,2018-02-21,n,2018,21
961,Harmony Hill Care Community,1800 O'Connor Dr,ltch,respiratory,Influenza B,N/A,2018-01-31,2018-02-14,n,2018,14
962,Harold and Grace Baker Centre - 1st Fl,1 Northwestern Ave,ltch,respiratory,Influenza A (H3),Influenza B,2018-01-31,2018-02-16,n,2018,16
963,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,ltch,respiratory,Influenza B,N/A,2018-01-30,2018-02-07,n,2018,8
964,The Briton House Retirement Centre - North & South Tower,"700 & 720 Mount Pleasant Rd - 6th, 7th, 8th & 9th Fl",retirement home,respiratory,Unable to identify,N/A,2018-01-30,2018-02-14,n,2018,15
965,Providence Healthcare - A5 East,3276 St Clair Ave E,hospital-chronic care,respiratory,Influenza B,N/A,2018-01-29,2018-02-06,n,2018,8
966,Trillium Health Partners - Queensway Health Centre -,150 Sherway Dr - Complex Care Unit,hospital-acute care,enteric,Unable to identify,N/A,2018-01-29,2018-02-05,n,2018,7
967,Providence Healthcare - Houses of Providence - HOP 4E -,3276 St Clair Ave E - Juniper House,ltch,respiratory,Influenza A (H3),N/A,2018-01-27,2018-02-07,n,2018,11
968,Ivan Franko Home - 3rd Fl,767 Royal York Rd,ltch,respiratory,Unable to identify,N/A,2018-01-26,2018-02-06,n,2018,11
969,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,retirement home,enteric,Unable to identify,N/A,2018-01-26,2018-02-03,n,2018,8
970,Cedarvale Terrace - 4th Fl,429 Walmer Rd,ltch,respiratory,Unable to identify,N/A,2018-01-26,2018-02-15,n,2018,20
971,Toronto General Hospital - 14 Eaton South,200 Elizabeth St,hospital-acute care,respiratory,Influenza B,N/A,2018-01-26,2018-02-02,n,2018,7
972,Chartwell Grenadier Retirement Residence,2100 Bloor St W,retirement home,respiratory,Influenza B,Respiratory syncytial virus,2018-01-25,2018-02-21,n,2018,27
973,St. Michael's Hospital  - 16CN,30 Bond St,hospital-acute care,respiratory,Influenza A (H3),N/A,2018-01-25,2018-02-02,n,2018,8
974,Amica at Bayview Gardens,19 Rean Dr,retirement home,enteric,Unable to identify,N/A,2018-01-24,2018-02-12,n,2018,19
975,"Fudger House - 1 East, 2 East & 2 West Units",439 Sherbourne St,ltch,respiratory,Unable to identify,N/A,2018-01-24,2018-02-08,n,2018,15
976,Lakeshore Lodge - 2 North & 2 South,3197 Lake Shore Blvd W,ltch,enteric,Norovirus-like,N/A,2018-01-24,2018-02-03,n,2018,10
977,Belmont House - 2WW,55 Belmont St,ltch,enteric,Unable to identify,N/A,2018-01-24,2018-02-05,n,2018,12
978,"Castleview Wychwood Towers - 4th, 5th & 6th Fl",351 Christie St,ltch,respiratory,Influenza B,N/A,2018-01-23,2018-02-16,n,2018,24
979,West Park Long Term Care,82 Buttonwood Ave,ltch,respiratory,Influenza B,N/A,2018-01-23,2018-02-08,n,2018,16
980,Weston Terrace Care Community - 1A & 3A,2005 Lawrence Ave W,ltch,enteric,Unable to identify,N/A,2018-01-22,2018-02-16,n,2018,25
981,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,ltch,respiratory,Influenza A (H3),N/A,2018-01-22,2018-02-06,n,2018,15
982,Sunnybrook Health Science Centre - K2W,2075 Bayview Ave,ltch,respiratory,Respiratory syncytial virus,N/A,2018-01-22,2018-01-31,n,2018,9
983,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,ltch,respiratory,Influenza B,Coronavirus,2018-01-22,2018-02-20,n,2018,29
984,"Castleview Wychwood Towers - 2nd, 5th & 7th Fl",351 Christie St,ltch,enteric,Norovirus-like,N/A,2018-01-22,2018-02-13,n,2018,22
985,Ukrainian Canadian Care Centre,60 Richview Rd,ltch,respiratory,Influenza B,N/A,2018-01-22,2018-02-16,n,2018,25
986,Yee Hong Centre - Scarborough Finch,60 Scottfield Dr,ltch,respiratory,Influenza B,Respiratory syncytial virus,2018-01-22,2018-02-14,n,2018,23
987,Copernicus Lodge,66 Roncesvalles Ave,ltch,respiratory,Influenza A (Not subtyped),Influenza B,2018-01-22,2018-02-14,n,2018,23
988,Salvation Army Meighen Retirement Residence,84 Davisville Ave,retirement home,respiratory,Influenza A (H3),N/A,2018-01-22,2018-02-02,n,2018,11
989,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,hospital-chronic care,respiratory,Influenza B,N/A,2018-01-22,2018-02-01,n,2018,10
990,Kingsway Retirement Home - Memory Care Fl,4251 Dundas St W,retirement home,respiratory,Influenza A (H3),N/A,2018-01-22,2018-01-31,n,2018,9
991,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,hospital-chronic care,respiratory,Influenza B,N/A,2018-01-22,2018-02-06,n,2018,15
992,Extendicare Guildwood - East Wing,60 Guildwood Pky,ltch,respiratory,Unable to identify,N/A,2018-01-21,2018-02-12,n,2018,22
993,Seaton House - 4th Fl,339 George St,shelter,respiratory,Influenza A (H3),N/A,2018-01-21,2018-02-12,n,2018,22
994,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3,hospital-psychiatric,respiratory,Influenza A ((H1N1)pdm09),N/A,2018-01-21,2018-01-29,n,2018,8
995,Midland Gardens Care Community,130 Midland Ave,ltch,respiratory,Influenza B,Parainfluenza type 1,2018-01-21,2018-02-07,n,2018,17
996,Hawthorne Place Care Centre,2045 Finch Ave W,ltch,enteric,Norovirus-like,N/A,2018-01-20,2018-02-14,n,2018,25
997,Extendicare Rouge Valley - Highland Creek House,551 Conlins Rd,ltch,respiratory,Unable to identify,N/A,2018-01-20,2018-01-29,n,2018,9
998,Canterbury Place Retirement Residence,1 Canterbury Pl,retirement home,respiratory,Influenza A (H3),N/A,2018-01-20,2018-01-31,n,2018,11
999,Sagecare,147 Elder St,retirement home,respiratory,Influenza B,N/A,2018-01-19,2018-01-29,n,2018,10
1000,Weston Gardens Retirement Residence,303 Queens Dr,retirement home,respiratory,Influenza B,N/A,2018-01-19,2018-02-04,n,2018,16
1001,Vermont Square - 6th Fl,914 Bathurst St,ltch,respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-19,2018-02-07,n,2018,19
1002,The Heritage Nursing Home,1195 Queen St E,ltch,respiratory,Influenza B,Respiratory syncytial virus,2018-01-18,2018-02-13,n,2018,26
1003,Centre for Addiction and Mental Health - Unit 1-5,1001 Queen St W,hospital-psychiatric,respiratory,Influenza A (Not subtyped),N/A,2018-01-18,2018-01-29,n,2018,11
1004,Extendicare Scarborough,3830 Lawrence Ave E,ltch,respiratory,Influenza A (H3),N/A,2018-01-17,2018-02-05,n,2018,19
1005,Carefree Lodge - 1st Fl,306 Finch Ave E,ltch,respiratory,Influenza B,N/A,2018-01-17,2018-01-25,n,2018,8
1006,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,retirement home,respiratory,Unable to identify,N/A,2018-01-17,2018-01-30,n,2018,13
1007,West Park Healthcare Centre - 3EB,82 Buttonwood Ave,hospital-chronic care,respiratory,Influenza A (Not subtyped),Influenza B,2018-01-17,2018-01-23,n,2018,6
1008,The Kensington Place Retirement Residence,866 Sheppard Ave W,retirement home,respiratory,Unable to identify,N/A,2018-01-16,2018-01-24,n,2018,8
1009,Deerwood Creek Care Community - 2B & 3A,70 Humberline Dr,ltch,respiratory,Unable to identify,N/A,2018-01-16,2018-02-12,n,2018,27
1010,Mackenzie Health - RCC 4E,2111 Finch Ave W,hospital-chronic care,respiratory,Influenza A (H3),N/A,2018-01-16,2018-01-25,n,2018,9
1011,McCall Centre for Continuing Care - Interim LTC Unit,140 Sherway Dr - 2nd & 4th Fl,ltch,respiratory,Influenza B,N/A,2018-01-16,2018-01-31,n,2018,15
1012,The O'Neill Centre,33 Christie St,ltch,respiratory,Influenza A (H3),N/A,2018-01-16,2018-02-05,n,2018,20
1013,Cheltenham Care Community,5935 Bathurst St,ltch,respiratory,Influenza A (H3N2),N/A,2018-01-16,2018-01-29,n,2018,13
1014,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,retirement home,respiratory,Influenza B,N/A,2018-01-16,2018-01-31,n,2018,15
1015,Providence Healthcare - A4 East,3276 St Clair Ave E,hospital-chronic care,respiratory,Influenza A (H3),N/A,2018-01-16,2018-01-27,n,2018,11
1016,Westside,1145 Albion Rd,ltch,enteric,Unable to identify,N/A,2018-01-16,2018-02-07,n,2018,22
1017,"Fieldstone Commons - 1A, 3A & 4A",1000 Ellesmere Rd,ltch,respiratory,Influenza A (H3),Influenza B,2018-01-15,2018-01-25,n,2018,10
1018,Tony Stacey Centre for Veterans Care,59 Lawson Rd,ltch,respiratory,Influenza A (H3),N/A,2018-01-15,2018-01-30,n,2018,15
1019,Providence Healthcare - Houses of Providence - HOP 4E Sumac,3276 St Clair Ave E,ltch,respiratory,Influenza A (H3),N/A,2018-01-15,2018-01-27,n,2018,12
1020,Cummer Lodge - Grd Fl,205 Cummer Ave,ltch,respiratory,Unable to identify,N/A,2018-01-15,2018-01-25,n,2018,10
1021,Valleyview Residence,541 Finch Ave W,ltch,respiratory,Influenza B,N/A,2018-01-15,2018-02-07,n,2018,23
1022,Bendale Acres Nursing Home,2920 Lawrence Ave E,ltch,respiratory,Influenza A (H3),N/A,2018-01-15,2018-02-02,n,2018,18
1023,Belmont House - 5WW,55 Belmont St,ltch,respiratory,Unable to identify,N/A,2018-01-15,2018-01-22,n,2018,7
1024,Scarborough and Rouge Hospital - Birchmount Site - 4A,3030 Birchmount Rd,hospital-acute care,respiratory,Influenza A (Not subtyped),N/A,2018-01-13,2018-01-23,n,2018,10
1025,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,ltch,respiratory,Influenza A (H3),N/A,2018-01-13,2018-01-28,n,2018,15
1026,Villa Colombo - 2 Fusco,40 Playfair Ave,ltch,enteric,Norovirus-like,N/A,2018-01-13,2018-01-28,n,2018,15
1027,Kipling Acres,2233 Kipling Ave,ltch,respiratory,Influenza B,Respiratory syncytial virus,2018-01-12,2018-02-16,n,2018,35
1028,Salvation Army Toronto Grace Health Centre - Rehab Unit -,650 Church St - 5th Fl,hospital-chronic care,respiratory,Influenza B,N/A,2018-01-12,2018-01-20,n,2018,8
1029,Castleview Wychwood Towers - 7th Fl,351 Christie St,ltch,respiratory,Influenza B,N/A,2018-01-12,2018-01-20,n,2018,8
1030,Lakeside Long Term Care Centre,150 Dunn Ave,ltch,respiratory,Metapneumovirus,N/A,2018-01-11,2018-01-22,n,2018,11
1031,Amica at the Balmoral Club,155 Balmoral Ave,retirement home,respiratory,Influenza A (H3),N/A,2018-01-11,2018-01-25,n,2018,14
1032,Village of Humber Heights Retirement Home - 2nd Fl - Egerton,2245 Lawrence Ave W,retirement home,respiratory,Unable to identify,N/A,2018-01-11,2018-01-29,n,2018,18
1033,St. Joseph's Healthcare Centre - 4M Medicine/Telemetry,30 The Queensway,hospital-acute care,respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-11,2018-01-31,n,2018,20
1034,Villa Colombo,40 Playfair Ave,ltch,respiratory,Influenza A (H3),Influenza B,2018-01-11,2018-01-23,n,2018,12
1035,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,hospital-chronic care,respiratory,Influenza A (H3N2),N/A,2018-01-11,2018-01-18,n,2018,7
1036,Lakeshore Lodge - 2 North,3197 Lake Shore Blvd W,ltch,respiratory,Respiratory syncytial virus,N/A,2018-01-10,2018-01-22,n,2018,12
1037,Scarborough and Rouge Hopsital - General Site - Tower 7,3050 Lawrence Ave E,hospital-acute care,enteric,Norovirus-like,N/A,2018-01-10,2018-01-19,n,2018,9
1038,Forest Hill Place,645 Castlefield Ave,retirement home,enteric,Norovirus-like,N/A,2018-01-10,2018-01-25,n,2018,15
1039,Weston Terrace Care Community,2005 Lawrence Ave W,ltch,respiratory,Influenza A (H3),Respiratory syncytial virus,2018-01-09,2018-01-24,n,2018,15
1040,Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,ltch,respiratory,Influenza A (H3),"Influenza B,Respiratory syncytial virus",2018-01-09,2018-02-06,n,2018,28
1041,Altamont Care Community,92 Island Rd,ltch,respiratory,Influenza B,N/A,2018-01-09,2018-01-22,n,2018,13
1042,Wesburn Manor,400 The West Mall,ltch,respiratory,Influenza A (H3),Influenza B,2018-01-09,2018-01-30,n,2018,21
1043,Kensington Place Retirement Residence,866 Sheppard Ave W,retirement home,enteric,Norovirus-like,N/A,2018-01-08,2018-01-16,n,2018,8
1044,Fairview Nursing Home,14 Cross St,ltch,respiratory,Influenza A (H3),Influenza B,2018-01-08,2018-01-23,n,2018,15
1045,Rose of Sharon Long Term Care Home,17 Maplewood Ave,ltch,respiratory,Influenza B,N/A,2018-01-08,2018-01-22,n,2018,14
1046,Tendercare Living Centre,1020 McNicoll Ave,ltch,respiratory,Influenza B,N/A,2018-01-08,2018-01-23,n,2018,15
1047,Hellenic Home - Scarborough  - Unit 3B,2411 Lawrence Ave E,ltch,respiratory,Influenza A (H3),N/A,2018-01-08,2018-02-05,n,2018,28
1048,McCowan Retirement Residence,2881 Eglinton Ave E,retirement home,respiratory,Influenza B,N/A,2018-01-08,2018-01-19,n,2018,11
1049,Copernicus Lodge Independent Living,66 Roncesvalles Ave,retirement home,enteric,Unable to identify,N/A,2018-01-08,2018-02-04,n,2018,27
1050,St. Bernard's Residence,685 Finch Ave W,retirement home,respiratory,Unable to identify,N/A,2018-01-08,2018-01-20,n,2018,12
1051,The Millwood,921 Millwood Rd,retirement home,respiratory,Influenza B,N/A,2018-01-08,2018-01-22,n,2018,14
